poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
1669300849_19235072, 1669300849.019235, 0.800126, -0.599725, 0.011337, 25.964404, 0.599790, 0.800151, -0.003267, -4.747142, -0.007112, 0.009414, 0.999930, 0.355899, 0.000000, 0.000000, 0.000000, 1.000000
1669300850_518771456, 1669300850.518771, 0.800478, -0.599301, 0.008598, 26.995263, 0.599362, 0.800422, -0.009530, -4.914053, -0.001171, 0.012782, 0.999918, 0.335696, 0.000000, 0.000000, 0.000000, 1.000000
1669300856_618756608, 1669300856.618757, 0.803717, -0.594973, 0.006777, 27.984655, 0.595011, 0.803688, -0.006952, -5.076960, -0.001310, 0.009619, 0.999953, 0.323290, 0.000000, 0.000000, 0.000000, 1.000000
1669300857_919215104, 1669300857.919215, 0.803703, -0.595004, 0.005708, 28.996575, 0.595009, 0.803718, 0.000809, -5.242607, -0.005069, 0.002746, 0.999983, 0.305396, 0.000000, 0.000000, 0.000000, 1.000000
1669300859_219601920, 1669300859.219602, 0.803832, -0.594629, 0.016467, 30.005550, 0.594779, 0.803866, -0.006127, -5.415269, -0.009594, 0.014719, 0.999846, 0.295269, 0.000000, 0.000000, 0.000000, 1.000000
1669300866_918524416, 1669300866.918525, 0.806113, -0.591710, 0.007841, 30.999763, 0.591752, 0.806106, -0.004755, -5.584184, -0.003507, 0.008473, 0.999958, 0.273099, 0.000000, 0.000000, 0.000000, 1.000000
1669300870_418907648, 1669300870.418908, 0.829777, -0.557851, 0.016492, 32.002156, 0.557974, 0.829850, -0.003729, -5.754118, -0.011606, 0.012296, 0.999857, 0.247010, 0.000000, 0.000000, 0.000000, 1.000000
1669300905_618092800, 1669300905.618093, 0.824313, -0.565900, 0.016308, 33.000134, 0.565986, 0.824414, -0.000864, -5.987950, -0.012956, 0.009942, 0.999867, 0.230663, 0.000000, 0.000000, 0.000000, 1.000000
1669300908_317366784, 1669300908.317367, 0.786347, -0.617526, 0.017896, 34.015716, 0.617661, 0.786440, -0.002681, -6.152486, -0.012419, 0.013162, 0.999836, 0.212525, 0.000000, 0.000000, 0.000000, 1.000000
1669300910_517833984, 1669300910.517834, 0.817231, -0.575934, 0.020804, 35.030718, 0.576144, 0.817330, -0.005506, -6.336241, -0.013833, 0.016485, 0.999768, 0.188985, 0.000000, 0.000000, 0.000000, 1.000000
1669300916_317004288, 1669300916.317004, 0.824205, -0.566213, 0.009449, 36.023613, 0.566273, 0.824200, -0.005454, -6.535363, -0.004700, 0.009847, 0.999940, 0.167557, 0.000000, 0.000000, 0.000000, 1.000000
1669300917_616666880, 1669300917.616667, 0.824416, -0.565596, 0.020934, 37.059315, 0.565839, 0.824478, -0.007898, -6.743455, -0.012792, 0.018356, 0.999750, 0.144761, 0.000000, 0.000000, 0.000000, 1.000000
1669300919_16508928, 1669300919.016509, 0.821422, -0.570169, 0.013172, 38.088582, 0.570262, 0.821449, -0.004648, -6.951276, -0.008170, 0.011329, 0.999902, 0.121883, 0.000000, 0.000000, 0.000000, 1.000000
1669300920_317949696, 1669300920.317950, 0.766088, -0.642582, 0.014040, 39.108510, 0.642710, 0.766069, -0.007873, -7.102473, -0.005697, 0.015056, 0.999870, 0.105870, 0.000000, 0.000000, 0.000000, 1.000000
1669300929_616830720, 1669300929.616831, 0.809355, -0.587265, 0.007999, 40.102320, 0.587315, 0.809324, -0.007426, -7.268269, -0.002113, 0.010709, 0.999940, 0.092436, 0.000000, 0.000000, 0.000000, 1.000000
1669300931_517310464, 1669300931.517310, 0.812882, -0.582303, 0.012087, 41.106150, 0.582392, 0.812888, -0.005665, -7.446381, -0.006527, 0.011644, 0.999911, 0.074509, 0.000000, 0.000000, 0.000000, 1.000000
1669300937_716847616, 1669300937.716848, 0.816755, -0.576979, 0.002468, 42.124145, 0.576981, 0.816729, -0.006840, -7.634683, 0.001931, 0.007011, 0.999974, 0.060039, 0.000000, 0.000000, 0.000000, 1.000000
1669300939_416477440, 1669300939.416477, 0.814507, -0.580062, 0.010272, 43.154746, 0.580121, 0.814522, -0.003830, -7.825814, -0.006145, 0.009078, 0.999940, 0.040083, 0.000000, 0.000000, 0.000000, 1.000000
1669300941_18230784, 1669300941.018231, 0.811090, -0.584878, 0.007083, 44.187852, 0.584918, 0.811068, -0.006383, -7.969183, -0.002012, 0.009321, 0.999955, 0.031978, 0.000000, 0.000000, 0.000000, 1.000000
1669300947_816991744, 1669300947.816992, 0.825013, -0.565067, 0.007229, 45.195520, 0.565095, 0.825023, -0.002352, -8.159779, -0.004635, 0.006026, 0.999971, 0.017557, 0.000000, 0.000000, 0.000000, 1.000000
1669300950_417008128, 1669300950.417008, 0.824560, -0.565724, 0.007501, 46.204392, 0.565771, 0.824527, -0.007674, -8.363641, -0.001843, 0.010572, 0.999942, -0.000087, 0.000000, 0.000000, 0.000000, 1.000000
1669300953_17185792, 1669300953.017186, 0.782629, -0.622472, 0.004600, 47.226768, 0.622489, 0.782610, -0.005366, -8.525312, -0.000260, 0.007064, 0.999975, -0.019011, 0.000000, 0.000000, 0.000000, 1.000000
1669300959_218901504, 1669300959.218901, 0.863883, -0.503574, 0.010951, 48.223243, 0.503643, 0.863899, -0.004668, -8.674113, -0.007110, 0.009548, 0.999929, -0.033715, 0.000000, 0.000000, 0.000000, 1.000000
1669300961_718074624, 1669300961.718075, 0.829177, -0.558916, 0.008869, 49.220900, 0.558962, 0.829184, -0.003812, -8.930783, -0.005224, 0.008118, 0.999953, -0.045802, 0.000000, 0.000000, 0.000000, 1.000000
1669300963_918281728, 1669300963.918282, 0.787853, -0.615845, 0.004779, 50.234834, 0.615864, 0.787826, -0.006419, -9.111595, 0.000188, 0.008000, 0.999968, -0.060040, 0.000000, 0.000000, 0.000000, 1.000000
1669300969_917487360, 1669300969.917487, 0.782311, -0.622826, 0.008735, 51.275653, 0.622882, 0.782287, -0.006761, -9.250234, -0.002622, 0.010730, 0.999939, -0.071686, 0.000000, 0.000000, 0.000000, 1.000000
1669300971_916446720, 1669300971.916447, 0.888491, -0.458613, 0.016047, 52.296912, 0.458732, 0.888563, -0.004528, -9.479605, -0.012182, 0.011384, 0.999861, -0.089999, 0.000000, 0.000000, 0.000000, 1.000000
1669300973_716674304, 1669300973.716674, 0.784687, -0.619750, 0.013321, 53.296294, 0.619880, 0.784628, -0.010374, -9.664186, -0.004022, 0.016398, 0.999857, -0.109612, 0.000000, 0.000000, 0.000000, 1.000000
1669300979_517779456, 1669300979.517779, 0.781947, -0.623219, 0.012557, 54.289847, 0.623317, 0.781945, -0.006169, -9.790834, -0.005974, 0.012651, 0.999902, -0.127258, 0.000000, 0.000000, 0.000000, 1.000000
1669300981_617707264, 1669300981.617707, 0.782102, -0.623128, 0.005288, 55.307488, 0.623144, 0.782105, -0.001977, -9.919799, -0.002904, 0.004841, 0.999984, -0.140347, 0.000000, 0.000000, 0.000000, 1.000000
1669300987_917544192, 1669300987.917544, 0.822930, -0.568141, 0.001138, 56.346580, 0.568141, 0.822931, 0.000269, -10.088336, -0.001089, 0.000425, 0.999999, -0.152355, 0.000000, 0.000000, 0.000000, 1.000000
1669300989_717526784, 1669300989.717527, 0.823157, -0.567813, 0.001106, 57.335122, 0.567814, 0.823157, -0.000091, -10.284793, -0.000859, 0.000703, 0.999999, -0.161375, 0.000000, 0.000000, 0.000000, 1.000000
1669300991_618086656, 1669300991.618087, 0.823608, -0.567095, 0.008570, 58.339207, 0.567155, 0.823566, -0.008628, -10.488731, -0.002165, 0.011966, 0.999926, -0.175273, 0.000000, 0.000000, 0.000000, 1.000000
