poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
1669301384_931280128, 1669301384.931280, 0.794229, -0.607488, 0.012588, 10.109929, 0.607618, 0.794077, -0.015556, -1.951858, -0.000546, 0.020003, 0.999800, 0.619993, 0.000000, 0.000000, 0.000000, 1.000000
1669301386_531168768, 1669301386.531169, 0.789351, -0.613751, 0.015306, 9.087680, 0.613919, 0.789294, -0.010929, -1.801524, -0.005374, 0.018023, 0.999823, 0.632934, 0.000000, 0.000000, 0.000000, 1.000000
1669301392_631063040, 1669301392.631063, 0.786607, -0.617313, 0.013206, 8.094331, 0.617419, 0.786611, -0.006087, -1.662491, -0.006630, 0.012942, 0.999894, 0.655639, 0.000000, 0.000000, 0.000000, 1.000000
1669301394_231291392, 1669301394.231291, 0.787471, -0.616270, 0.010036, 7.090887, 0.616345, 0.787432, -0.008341, -1.527373, -0.002762, 0.012754, 0.999915, 0.672807, 0.000000, 0.000000, 0.000000, 1.000000
1669301400_230781184, 1669301400.230781, 0.789524, -0.613633, 0.010257, 6.078570, 0.613717, 0.789454, -0.010677, -1.388471, -0.001546, 0.014724, 0.999890, 0.686386, 0.000000, 0.000000, 0.000000, 1.000000
1669301401_930804736, 1669301401.930805, 0.790725, -0.612122, 0.007825, 5.057180, 0.612170, 0.790692, -0.007408, -1.241355, -0.001653, 0.010648, 0.999942, 0.704367, 0.000000, 0.000000, 0.000000, 1.000000
1669301403_530288640, 1669301403.530289, 0.856725, -0.515657, 0.010955, 4.015916, 0.515719, 0.856750, -0.003717, -1.015873, -0.007469, 0.008834, 0.999933, 0.720017, 0.000000, 0.000000, 0.000000, 1.000000
1669301409_530365184, 1669301409.530365, 0.861731, -0.507184, 0.013577, 3.023416, 0.507259, 0.861790, -0.002554, -0.748029, -0.010405, 0.009088, 0.999905, 0.739292, 0.000000, 0.000000, 0.000000, 1.000000
1669301411_530880768, 1669301411.530881, 0.827930, -0.560661, 0.013807, 2.037692, 0.560779, 0.827938, -0.006720, -0.501540, -0.007663, 0.013307, 0.999882, 0.756361, 0.000000, 0.000000, 0.000000, 1.000000
1669301416_630678784, 1669301416.630679, 0.820769, -0.570874, 0.021010, 1.054047, 0.571129, 0.820814, -0.008731, -0.300210, -0.012260, 0.019166, 0.999741, 0.773040, 0.000000, 0.000000, 0.000000, 1.000000
1669301418_931446016, 1669301418.931446, 0.821733, -0.569769, 0.010864, 0.042150, 0.569862, 0.821682, -0.009761, -0.104304, -0.003366, 0.014212, 0.999893, 0.793514, 0.000000, 0.000000, 0.000000, 1.000000
